project,num_downloads,month
cell2location,664,2024-07-01
mofapy2,588,2024-07-01
mudata,18774,2024-07-01
muon,2166,2024-07-01
spatialdata,8422,2024-07-01
spatialde,265,2024-07-01
cell2location,1812,2024-06-01
mofapy2,3580,2024-06-01
mudata,41526,2024-06-01
muon,7477,2024-06-01
spatialdata,22884,2024-06-01
spatialde,864,2024-06-01
cell2location,1769,2024-05-01
mofapy2,2109,2024-05-01
mudata,38077,2024-05-01
muon,5613,2024-05-01
spatialdata,19576,2024-05-01
spatialde,726,2024-05-01
cell2location,2097,2024-04-01
mofapy2,5140,2024-04-01
mudata,43181,2024-04-01
muon,9407,2024-04-01
spatialdata,21160,2024-04-01
spatialde,1096,2024-04-01
cell2location,2038,2024-03-01
mofapy2,2961,2024-03-01
mudata,41448,2024-03-01
muon,6368,2024-03-01
spatialdata,12047,2024-03-01
spatialde,1044,2024-03-01
cell2location,1793,2024-02-01
mofapy2,1867,2024-02-01
mudata,38513,2024-02-01
muon,5807,2024-02-01
spatialdata,11789,2024-02-01
spatialde,862,2024-02-01
cell2location,816,2024-01-01
mofapy2,1074,2024-01-01
mudata,42000,2024-01-01
muon,4670,2024-01-01
spatialdata,5858,2024-01-01
spatialde,780,2024-01-01
cell2location,1050,2023-12-01
mofapy2,1077,2023-12-01
mudata,34797,2023-12-01
muon,4074,2023-12-01
spatialdata,4580,2023-12-01
spatialde,743,2023-12-01
cell2location,579,2023-11-01
mofapy2,1298,2023-11-01
mudata,28465,2023-11-01
muon,4594,2023-11-01
spatialdata,5393,2023-11-01
spatialde,834,2023-11-01
cell2location,686,2023-10-01
mofapy2,887,2023-10-01
mudata,34124,2023-10-01
muon,4578,2023-10-01
spatialdata,6089,2023-10-01
spatialde,907,2023-10-01
cell2location,660,2023-09-01
mofapy2,1103,2023-09-01
mudata,22024,2023-09-01
muon,3882,2023-09-01
spatialdata,3830,2023-09-01
spatialde,607,2023-09-01
cell2location,736,2023-08-01
mofapy2,1311,2023-08-01
mudata,20047,2023-08-01
muon,4834,2023-08-01
spatialdata,4913,2023-08-01
spatialde,986,2023-08-01
cell2location,789,2023-07-01
mofapy2,1196,2023-07-01
mudata,18512,2023-07-01
muon,3746,2023-07-01
spatialdata,3288,2023-07-01
spatialde,893,2023-07-01
cell2location,1021,2023-06-01
mofapy2,2287,2023-06-01
mudata,18998,2023-06-01
muon,3853,2023-06-01
spatialdata,3386,2023-06-01
spatialde,968,2023-06-01
cell2location,826,2023-05-01
mofapy2,1540,2023-05-01
mudata,15580,2023-05-01
muon,2685,2023-05-01
spatialdata,2257,2023-05-01
spatialde,818,2023-05-01
cell2location,809,2023-04-01
mofapy2,1354,2023-04-01
mudata,13555,2023-04-01
muon,2517,2023-04-01
spatialdata,60,2023-04-01
spatialde,952,2023-04-01
cell2location,848,2023-03-01
mofapy2,1905,2023-03-01
mudata,14637,2023-03-01
muon,2837,2023-03-01
spatialdata,71,2023-03-01
spatialde,1225,2023-03-01
cell2location,777,2023-02-01
mofapy2,1417,2023-02-01
mudata,13927,2023-02-01
muon,2820,2023-02-01
spatialdata,61,2023-02-01
spatialde,1059,2023-02-01
cell2location,715,2023-01-01
mofapy2,836,2023-01-01
mudata,10879,2023-01-01
muon,1761,2023-01-01
spatialdata,39,2023-01-01
spatialde,609,2023-01-01
cell2location,144,2022-12-01
mofapy2,708,2022-12-01
mudata,11402,2022-12-01
muon,1794,2022-12-01
spatialdata,76,2022-12-01
spatialde,691,2022-12-01
cell2location,174,2022-11-01
mofapy2,1235,2022-11-01
mudata,9731,2022-11-01
muon,2687,2022-11-01
spatialdata,107,2022-11-01
spatialde,903,2022-11-01
cell2location,166,2022-10-01
mofapy2,1470,2022-10-01
mudata,10504,2022-10-01
muon,3965,2022-10-01
spatialdata,108,2022-10-01
spatialde,869,2022-10-01
cell2location,138,2022-09-01
mofapy2,896,2022-09-01
mudata,13936,2022-09-01
muon,6727,2022-09-01
spatialdata,70,2022-09-01
spatialde,893,2022-09-01
cell2location,229,2022-08-01
mofapy2,1249,2022-08-01
mudata,6779,2022-08-01
muon,3311,2022-08-01
spatialdata,89,2022-08-01
spatialde,1033,2022-08-01
cell2location,162,2022-07-01
mofapy2,833,2022-07-01
mudata,7036,2022-07-01
muon,2974,2022-07-01
spatialdata,86,2022-07-01
spatialde,657,2022-07-01
cell2location,201,2022-06-01
mofapy2,975,2022-06-01
mudata,5160,2022-06-01
muon,4124,2022-06-01
spatialdata,132,2022-06-01
spatialde,1037,2022-06-01
cell2location,270,2022-05-01
mofapy2,1124,2022-05-01
mudata,3359,2022-05-01
muon,2139,2022-05-01
spatialdata,265,2022-05-01
spatialde,571,2022-05-01
cell2location,108,2022-04-01
mofapy2,1830,2022-04-01
mudata,2040,2022-04-01
muon,1521,2022-04-01
spatialde,872,2022-04-01
cell2location,166,2022-03-01
mofapy2,2044,2022-03-01
mudata,3031,2022-03-01
muon,1483,2022-03-01
spatialde,2341,2022-03-01
cell2location,97,2022-02-01
mofapy2,1564,2022-02-01
mudata,1924,2022-02-01
muon,681,2022-02-01
spatialde,1165,2022-02-01
cell2location,70,2022-01-01
mofapy2,1182,2022-01-01
mudata,1542,2022-01-01
muon,449,2022-01-01
spatialde,1019,2022-01-01
cell2location,78,2021-12-01
mofapy2,1262,2021-12-01
mudata,2187,2021-12-01
muon,565,2021-12-01
spatialde,974,2021-12-01
cell2location,87,2021-11-01
mofapy2,1079,2021-11-01
mudata,897,2021-11-01
muon,277,2021-11-01
spatialde,984,2021-11-01
cell2location,68,2021-10-01
mofapy2,1104,2021-10-01
mudata,1231,2021-10-01
muon,337,2021-10-01
spatialde,1010,2021-10-01
cell2location,253,2021-09-01
mofapy2,1419,2021-09-01
mudata,1365,2021-09-01
muon,194,2021-09-01
spatialde,1061,2021-09-01
mofapy2,1378,2021-08-01
mudata,108,2021-08-01
muon,212,2021-08-01
spatialde,1120,2021-08-01
mofapy2,1456,2021-07-01
mudata,148,2021-07-01
muon,270,2021-07-01
spatialde,1515,2021-07-01
mofapy2,1146,2021-06-01
mudata,304,2021-06-01
muon,477,2021-06-01
spatialde,1216,2021-06-01
mofapy2,1279,2021-05-01
muon,198,2021-05-01
spatialde,1206,2021-05-01
mofapy2,1474,2021-04-01
muon,37,2021-04-01
spatialde,973,2021-04-01
mofapy2,1856,2021-03-01
muon,67,2021-03-01
spatialde,1407,2021-03-01
mofapy2,1537,2021-02-01
muon,50,2021-02-01
spatialde,1230,2021-02-01
mofapy2,1043,2021-01-01
muon,57,2021-01-01
spatialde,1310,2021-01-01
mofapy2,889,2020-12-01
muon,51,2020-12-01
spatialde,1067,2020-12-01
mofapy2,1211,2020-11-01
muon,67,2020-11-01
spatialde,1143,2020-11-01
mofapy2,1125,2020-10-01
muon,83,2020-10-01
spatialde,1257,2020-10-01
mofapy2,1205,2020-09-01
muon,97,2020-09-01
spatialde,1232,2020-09-01
mofapy2,1353,2020-08-01
muon,251,2020-08-01
spatialde,1361,2020-08-01
mofapy2,986,2020-07-01
spatialde,1122,2020-07-01
mofapy2,702,2020-06-01
spatialde,1596,2020-06-01
mofapy2,606,2020-05-01
spatialde,1118,2020-05-01
mofapy2,616,2020-04-01
spatialde,1264,2020-04-01
mofapy2,785,2020-03-01
spatialde,1314,2020-03-01
mofapy2,2649,2020-02-01
spatialde,1411,2020-02-01
mofapy2,952,2020-01-01
spatialde,1466,2020-01-01
mofapy2,515,2019-12-01
spatialde,1088,2019-12-01
mofapy2,447,2019-11-01
spatialde,1459,2019-11-01
mofapy2,169,2019-10-01
spatialde,1457,2019-10-01
mofapy2,181,2019-09-01
spatialde,1356,2019-09-01
mofapy2,195,2019-08-01
spatialde,1481,2019-08-01
mofapy2,451,2019-07-01
spatialde,2273,2019-07-01