Method Name,Publication Link,Publication Year,Citations [source: google scholar],Article Accesses [source: respective journal]
MOFA,https://www.embopress.org/doi/full/10.15252/msb.20178124,2018,870,90000
SpatialDE,https://www.nature.com/articles/nmeth.4636,2018,439,31000
MOFA+,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-02015-1,2020,462,49000
Cell2Location,https://www.nature.com/articles/s41587-021-01139-4,2022,505,63000
MEFISTO,https://www.nature.com/articles/s41592-021-01343-9,2022,99,41000
MUON,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02577-8,2022,77,17000
SpatialData,https://www.nature.com/articles/s41592-024-02212-x,2024,24,22000
,,,,
,,,,
,,,,